userName,score,at,content
Faqih Said z.m,4,2025-08-21 01:12:11,"untuk kurogames, banyak hal yang saya sukai di game ini dan sedikit hal yang tidak saya sukai yaitu tidak ada subtitle Indonesia, selebihnya saya suka suka aja"
Escooo,1,2025-08-20 21:10:26,"berat banget penyimpanannya wak, dah jadi game PC aja sana"
Al Toh,5,2025-08-20 17:29:13,tolong tambahin bahasa indonesia nya dong....terimakasih
MORENO MOZZA PRATAMA,5,2025-08-20 17:07:29,Game Baik dan Tidak kikir
Rizal Muhtaqin,4,2025-08-20 16:41:31,this game is very beautiful and good and i like it but this game just need a little performance optimization in the game and Indonesian language support for Indonesian players
Xisho,5,2025-08-20 14:37:33,Terlalu bagus semua ceritanya
Sapriadi Adi,5,2025-08-20 14:14:36,keren sekali
Konoha Konoha,5,2025-08-20 12:26:06,"Please add Indonesian language,The game is good, but I don't fully understand the foreign language."
Tri yana,5,2025-08-20 12:19:56,kalah rate off Mulu 😭😭😭
ID F17,5,2025-08-20 10:45:59,HP kentang nih bos
Lidia Yuniati,5,2025-08-20 08:41:49,Game yang seru dan menyenangkan
metro2 metro1,3,2025-08-20 03:10:47,game kurang optimal di mid range device karena rendring game lemot membuat fps drop
Indomie,5,2025-08-20 01:43:38,Can I save phrolova dev?
Manusia Biasa,5,2025-08-20 01:40:36,absolute cinema
Dz4rK Sensei,5,2025-08-19 23:49:39,untuk dev tolong dong masukin bahasa Indonesia di game ini karena gk semua orang pandai bahasa inggris jujur gw agak bingung di story terbaru jadi tolong kuro
Armian Havik,5,2025-08-19 17:31:12,bagus
Geral,5,2025-08-19 15:54:51,Epic Game
Vixxi,5,2025-08-19 15:51:52,the best game mmorpg in the world. but please realese subtitle Indonesia
Lucky Ryan,5,2025-08-19 15:33:28,game baik
ted 88,5,2025-08-19 15:16:00,Game Baik
Matthew Hutabarat 27,5,2025-08-19 14:59:58,wuwa kau adalah game gacha terbaikku semoga hoki terus
Muhamad fahri al falah,5,2025-08-19 13:55:09,jujur ini game action rpg open world terbaik di mobile tapi menurut gw butuh pengoptimalan lebih baik lagi.bahasa Indonesia dan buat 1 tim menjadi 4 karakter
Nicho Vieri,5,2025-08-19 10:55:09,mantap banget game nya
vergnes lavandula,4,2025-08-19 09:48:36,when ya dapet rc brant:(
Fyn,5,2025-08-19 09:18:04,"I think this game is very good, but I think the optimization of this game is bad, so please improve it."
Natsu Overdrive,1,2025-08-19 08:31:21,Ampas banget gacha
Amri Daro Janur,5,2025-08-19 08:22:06,tolong tambahin bahasa Indonesia dong
Vere,5,2025-08-19 08:08:30,Gacor kang
Hafiz Ramadhan,5,2025-08-19 06:48:39,Game ini bagus banget geloooooooo
ReenRiz Q,1,2025-08-19 06:46:35,"jujur saja ini game gak freindly banget buat hp mid ke bawah dan yah mungkin banyak yg bilang device issue tapi emang gitu ada apanya yang dimana device orang indo tu kebanyakan kentang dan gw salah satunya, harus pensi sayang banget"
NadILA NaviSa,5,2025-08-19 03:06:30,"bagus banget ini game .. GK kaleng"" dari segi grafik nya , storynya , devnya juga baik. tapi tolong dong yang maps Huang long sama blackshore di kasih track buat selesain maps 100%. tapi overall semua ba"
TNURUZZAHRI ZAHRI,5,2025-08-18 18:19:21,t best game
P Yp,5,2025-08-18 18:15:33,awal mula gw kecanduan main game rpg
Daffa Kurniawan,3,2025-08-18 17:19:10,PITY TINGGI TERUS SETIAP GACHA SEKARANG DAN UDAH 5 KALI PITY TINGGI BERTURUT-TURUT DAN SELALU KALAH RATE OFF SEKALI DUA KALI SIH MASIH NORMAL INI UDAH LIMA KALI SIH NGGAK NORMAL
Hasbi Abdul Aziz,5,2025-08-18 17:11:04,gim baik
Alif Adiwidjaja,4,2025-08-18 16:51:00,"ga pernah suka sama game gacha tapi wuwa berhasil narik perhatian gw sejak day one release hanya karena combat nya yang menarik dan masih tetap demikian sampai sekarang. Bagi saya dalam game aksi open world yang paling penting itu combat nya, environment nya, eksplor nya, baru story, wuwa berhasil membuat saya pecinta game action seperti god of war dan sejenisnya bertahan sampai sekarang, hanya 1 yang membuat saya kesal, optimisasi, dev modern sepertinya memang mengesampingkan hal penting😮‍💨"
Nack Mikuasi,5,2025-08-18 16:08:16,oke
SOPIANDY,5,2025-08-18 15:30:40,"The gameplay is great — the graphics and features are all amazing — but there is still one major drawback, which is the limited subtitles. If more subtitle options are added, this game would be very close to perfect. As an Indonesian player, I sincerely ask Kuro to please add **Indonesian subtitles** (and other languages as well), as it would really help many players. and one more thing please make it so that it can download data in the background."
kurumi,5,2025-08-18 15:29:47,"tolong developer tambahkan versi lite atau settings grafik teringan ,dan kalau bisa filenya lebih di kompres karena terlalu besar"
aL F47RI,5,2025-08-18 15:05:52,"game ini memiliki open world yang sangat memungkau dan sangat keren yang membuat gameplay nya tidak gitu gitu aja, dan bisa bermain bareng bersama"
Maung Bodas,3,2025-08-18 11:23:41,kasih aku shoreekeeper kuroooo
Jau Hari,5,2025-08-18 09:39:51,mantap
Ranzz Uzumaki,5,2025-08-18 08:58:24,game ini sangat bagus membuat saya bermain terus menerus 👍
Manusia Ganteng,5,2025-08-18 07:57:55,"game nya bagus dan grafik nya juga enak di lihat, story nya bagus di tambah desain character yg bagus² tapi tolong untuk performa game nya lebih di optimalkan lagi kedepannya"
M Raafi Ardiansyah,5,2025-08-18 07:09:22,Please do localization to add more language like Indonesia
Aldika Audiar Ahnaf,5,2025-08-18 06:29:06,"Game nya seru,, lebih keren dari segi gameplay dan grafik. Untuk kedepannya mohon di optimalkan lagi untuk perangkat minimum!"
Larry Joker,1,2025-08-18 05:31:32,sering keluar sendiri optimalkan dong untuk hp yang mid range supaya bisa memainkan game ini lancar ingin main juga tolong ya developer
Riifaii Sky,5,2025-08-18 05:27:46,best game
Gede Rangga,5,2025-08-18 04:10:59,mantap
Kahlial Ghibran,5,2025-08-18 03:35:58,saya sangat suka dengan game yang satu ini Karena karakter wanitanya yang didesain semenarik mungkin cocok bagi saya yang sangat suka game bertema anime ini
fauzan abdullah,5,2025-08-18 02:57:32,absolute cinema ✋😐🤚
シン,5,2025-08-18 02:46:51,"asli gamenya bagus banget dari design, animasi, grafik, story, dan fight nya gacor🔥"
Raynand Dem,1,2025-08-18 02:24:11,chipset gw Helio g81 gak kuat
M. Ilham Rohmad,5,2025-08-18 01:31:09,welldone
Ahmad Ridha,5,2025-08-17 20:14:40,keren
Smkn Soteguh,4,2025-08-17 17:36:06,tambahin bahasa Indonesia
Fahmi Hafizt,1,2025-08-17 17:12:32,game burik
Camelia Luna,5,2025-08-17 16:32:21,"Story line yang bagus serta berbagai fitur menarik yang ditawarkan tiap-tiap Region nya membuat kita sangat menikmati seakan-akan berasa dalam dunia tersebut. serta berusaha untuk mendengarkan aspirasi dari penggunanya. berharap untuk kedepannya dapat terus dipertahankan serta berharap agar device saya masih kuat untuk update"" selanjutnya😁. Terima kasih Kuro games🙏"
Hatta Gusti,5,2025-08-17 16:31:39,absolute game. the best game i ever play
Lulut Wo,5,2025-08-17 15:54:39,game yang bagus aseli
Alfarhat Odang,5,2025-08-17 15:37:47,"SANGAT BAGUS DAN RAMAH UNTUK PLAYER P2W, BARU LOGIN 3 HARI UDAH DAPET 2 BIJI KARAKTER BINTANG 5!!"
YOGI rp,5,2025-08-17 14:49:25,"selalu mendengarkan pemainnya, hadiah juga gak sedikit,, mantap👍👍"
Dede Fauzi Wahyudi,5,2025-08-17 10:11:57,Game Baik ke Player. Tolong buatkan Game Cloud Wuwa dong :v
SMILEY,5,2025-08-17 08:32:28,seru
Made Wisnu,5,2025-08-17 06:42:11,kasih aku hoki ya kuro
kamelia nurassifa,5,2025-08-17 06:07:31,"Menurut pengalaman saya game ini adalah game dengan genre RPG digabungkan dengan apcalipstic yang paling menarik, dan dari segi grafik, battle, efek, skill, boss, karakter, dan beberapa fitur lainnya yang hanya dapat dihadirkan dari game wuthering wave ini ditambah lagi banyak sekali detail yang berada di game ini yang pasti membuat para player semakin nyaman dan movement karakter yang bikin satisfying. (I NEED GESHULIN) 😋😋"
Raihan Abdul Qoshid,5,2025-08-17 04:32:58,panjang umur developer. Dari semuanya improvement di game belum ada yang bisa ngalahin.
Wisnu Indrawa,4,2025-08-17 04:05:22,kuroooooo kenapa kau hadirka shorkeeper di patch 2.6 astrid gua dah habis 🥹
Alvinghg 1234567,5,2025-08-17 01:36:48,game baik
Max Try,5,2025-08-16 16:19:04,good game! I hope there is Indonesian language!
Irwan Herlangga,5,2025-08-16 16:14:00,game baik seru
Muhammad Fairuz Adi Nugraha,5,2025-08-16 15:07:50,"game keren, tapi banyakin lah bansosnya"
Mei,5,2025-08-16 13:54:43,Aq suka gem ini (kasi gue shorekeeper skrg juga atau gue kekantornya terus gue protes didepannya)
Leo S,5,2025-08-16 13:33:36,game terbagus ak cinta
Yasmin Nurfitri,5,2025-08-16 12:43:04,"sebenernya belum main masih download datanya, kalo liat story orang orang sih grafiknya bagus.... tapi kayaknya ga ada terjemah indonesia nya yah? aku malah baru tau ngga ada terjemah nya pas udah download, walau belum main dan belum ngerasain mohon yaah untuk developer kalo bisa buat terjemah indonesia nyaa, ngga terlalu ngerti inggris juga😭😭🙏....mohon maaf untuk permintaan nya karna aku juga panik pas tau😌"
Reddo Jasumin,5,2025-08-16 10:10:31,"puas banget , untuk orang yg anti game kompetitif seperti saya ini sangat menikmati nya"
Liberta Mishima,4,2025-08-16 08:54:39,peak
I Do Afthon Hilmi,2,2025-08-16 08:22:03,"map septimont terlalu berat untuk device saya, saya hanya berharap map selanjutnya tidak seberat septimont"
Rendy Almanda,2,2025-08-16 07:49:47,"No auto sweep in all challenge,simulation training,tacet field,boss,no element weakness and can you make it so I don't need shell credit when upgrade it's hard to collect both items when low and the movement of enemy is stiff like lagging or something and when I trying to track quest can you make it like there's path like genshin impact,synthonize is one by one so annoying,when the dialogue is just though the mouth moving"
altongaud,5,2025-08-16 07:29:41,gokil
Fauzan Azhim,4,2025-08-16 07:07:17,"game nya bagus, grafik memukau, karakternya mantap, kurang di subtitle indonesia aja yg gk ada mohon di hadirkan subtitle indonesia supaya bisa menikmati alur cerita bagi yg gk bisa bahasa Inggris"
Sistem 7,1,2025-08-16 04:36:54,"buset setiap update 20+ Gb Mulu ni game jadi males buat update,, dan ayolah masa sub indo gak di bikin bikin,, Susah kah bikin subtitle Indonesia? entah kenapa males banget ngelarin eventnya,, Soalnya rada rumit."
Dhuss alwi,5,2025-08-16 03:21:33,"BAGUSSS, cuman agak ngeframe :("
Dael Vaick,5,2025-08-16 02:10:13,biar ada bahasa Indonesia tolong dong jadi lebih paham lagii tentang game nya .
Hafiz Muhammad,5,2025-08-16 01:53:37,keren
Fahreza Parhan,5,2025-08-16 01:38:29,Please provide Indonesian language so that more Indonesian players can play and enjoy the game.
Fasy LuCk,5,2025-08-15 23:13:35,"Makin Update Patch Semakin Improve, main Dari patch1.0 sampai sekarang makin terasa seru, grafik improve, game play tidak monoton, Bansos Banjir. developer mendengarkan playernya, best dah 🔥"
Raffasya Azka,5,2025-08-15 22:27:53,Zani nya logat Italia 😂
TSUKUYO INABA,5,2025-08-15 18:52:20,best gacha game ever i played it
Hafizh Hilman Asyhari,5,2025-08-15 18:32:12,bagus banget open world
under no flag,4,2025-08-15 18:17:27,"game nya bagus, lumayan ramah buat F2P. walaupun aku pengen semua karakter, tapi syukur team ku bagus. endgame sulit, untungnya ga turn base game. bugnya cuma bug kecil dan ga ganggu game. Laging lumayan lah buat HP kentang ku. saran, perbanyak hadiah tiap konten gamenya. ada masalah di game, tapi sadar HP ku kentang."
Nur Mauluddin,2,2025-08-15 17:48:30,"butuh bahasa Indonesia di dalam gamenya, mohon kuro ditambahkan"
tengku Febriansyah,5,2025-08-15 17:27:36,keren bangettt nggk bisa berkata kata lagi rugi yang belum nyoba main
Nanda Oky Pratama,1,2025-08-15 16:13:25,"Please fix the bugs after Changli Cut scene, Because it's only black screen and the music sounds like usual. I am tired of trying so many times. Even I re-download the game 4 times and it's still nothing happened."
Muhammad Aqil,4,2025-08-15 16:00:20,"overall bagus,tinggal optimalkan aja,ngelek banget jir"
Mujahidin Palestina,5,2025-08-15 15:39:56,"oke MANTAP, SEMOGA KEDEPANNYA ADMINNYA SELALU MEMBERIKAN EVENT EVENT HERO GRATIS SUPAYA MAKIN MANTAP BERMAIN DAN SEMANGAT BUAT NGONTEN MENYIHIR ORANG ORANG SUPAYA MEREKA MAIN GAME INI TANPA LALAI DARI KEWAJIBAN YANG LAINNYA. HEHEHE SEMOGA UPDATE KEDEPANNYA ADA BAHASA INDONESIANYA. SEBAGIAN KAMI WNA MASIH BINGUNG DENGAN STORY NYA KARENA TIDAK BISA BERBAHASA INGGRIS."
Wendy's Theo Sandy Pratama,5,2025-08-15 13:58:10,mantap gw suka game ow
Tia Tanoe,4,2025-08-15 12:11:39,"ya ampun,aku tau aku sudah lama sekali tidak memainkan game ini. Tapi aku memutuskan untuk come back di ponsel baru saya namun dengan menggunakan akun yang lama agar progress wuthering waves saya tidak terulang. tapi,saat loading bagian compiling shader,entah kenapa game ini mengalami banyak gangguan pada loading,layar ponsel saya jadi hitam lalu nyala ,atau tidak garis loading nya hilang dan muncul tiba-tiba, maksudku,tidak mungkin ini karena ponsel ku,kan? tolong perbaiki?"
Tedy Rendra,4,2025-08-15 09:50:55,Sempet kira Genshin
ShinkiMura,5,2025-08-15 08:43:40,nice
Anzu Hanashiro,4,2025-08-15 08:35:28,"untuk sekarang bintang 4 dulu nanti kalau bahasa nya bisa diganti ke Indonesia baru saya naikin, saya harap cepat cepat bisa agar di sistem nya ada bahasa Indonesia biar memudahkan story"
Mhmd Risky,5,2025-08-15 05:51:32,kuro tolong grafik wuwa saya error. device poco f7
Rosa Amalia,4,2025-08-15 03:57:35,udah bagus semua tapi miskin char cowok.
Zeyn,1,2025-08-15 03:29:35,"Story terlalu repetitif, kesan Post Apocalyptic nya tidak berasa selain harem. gameplay seru dan rewards banyak—tapi juga punya banyak kekurangan seperti bgm, render di mobile, naratif tiap karakter kurang berkesan. Semoga improve 🙌"
Yendi Putra,5,2025-08-15 01:21:16,game nya bagus
Ulis Laser,3,2025-08-14 23:19:31,"upgrade sonata susah & bikin cape apalagi cost 3 & 1 cari main stat & substat nya bikin emosi, risort kebuang percuma terus, cari substat yg baik. ayolah jangan buat pemain bosan gara² echo yg susah dicari. modifer gak guna, di up sampah terus, 0.001 % cari doble crit ajh susah bener, blum perlu substat lainya..!! di game sebelah 3 tahun w main gak sesusah gini menggaharkan karakter."
Sahel Asal,5,2025-08-14 22:30:13,gem gg gakikir🫶🫶
Rangga Aditya,5,2025-08-14 22:17:30,Nice game
Rendi Cihuy,4,2025-08-14 20:02:50,"game nya udh bagus ,tapi buat even resonator sekarang ,frizerful nya gak yangzian knp gw malah dapet yang Zian ,tolong lah itu kenapa sih"
Dhylan Blaze,5,2025-08-14 15:56:40,bagus
Neo Imam,5,2025-08-14 14:38:10,"For good games, I have a suggestion for future updates, please provide Indonesian subtitles because I want to know the storyline."
Dina Triana,5,2025-08-14 14:21:52,mantap kuro
Kal,1,2025-08-14 13:48:07,GACHA CHAR AMPAS GACHA SUBSTAT ECHO JUGA AMPAS MULU
Fikry Naufal,5,2025-08-14 13:25:56,best gamee
Archeron Raiden Bosenmori Mei,5,2025-08-14 13:01:09,kenapa ya sering forclose padahal hp msih dingin kok di 38C
Akira,5,2025-08-14 11:20:56,"Hoki mulu gw gacha char di game ini, gk kayak game sebelah yg kalah rate off mulu."
Quan Xim,3,2025-08-14 10:33:11,"Please add Indonesian subtitles, Kuro admin."
Dedy Supriyatna (Dedy),5,2025-08-14 09:31:00,gurih bgt kenapa gk dr dlu taunya ni game
M Farhan Rizaldi,5,2025-08-14 09:12:52,Gamenya bagus
Risko Office,5,2025-08-14 09:00:07,developer baik
Felver,5,2025-08-14 08:43:42,Setelah sekian banyaknya optimization... Yak. Gw masih sering ngecrash
Sahibul Anam,5,2025-08-14 07:20:05,bessteebess
